 ?enkova I.," Institute of Translation Studies, Charles University in Prague, Czech Republic"
 Barr J.," Mathematics and Computer Science, Ithaca College, 1212 Williams Hall, Ithaca, NY 14850, United States"
 Barr J.," Mathematics and Computer Science, Ithaca College, 1212 Williams Hall, Ithaca, NY, United States"
 Barreyro J.P.," National Scientific and Technical Research Council (CONICET), Argentina"
 Bartocci G.," World Psychiatric Association, Transcultural Psychiatry Section"
 Bartonova A.," University Hospital of Rijeka, Croatia"
 Basso G.," Istituto di Fisiologia, Universitˆ di Trieste, Italy"
 Bassuk A.G.," Department of Human Genetics, Eccles Institute of Human Genetics, University of Utah School of Medicine, Salt Lake City, UT, United States"
 Batts F.," Department of Medicine, Division of General Internal Medicine, David Geffen School of Medicine, UCLA, United States"
 Bauer M.S.," Southern Methodist University, Dallas, TX, United States"
 Bayir H.," Department of Critical Care Medicine, Safar Ctr. for Resuscitation Res., Univ. of Pittsburgh Sch. of Medicine, 3434 Fifth Avenue, Pittsburgh, PA 15260, United States"
 Beaty B.," Adult and Child Center for Outcomes Research and Delivery Science (ACCORDS), University of Colorado, Denver, United States"
 Becher E.H.," Extension Center for Family Development, University of Minnesota, United States"
 Becker L.K.," Stanford University Medical School, Palo Alto, CA, United States"
 Becker M.," Humboldt University of Berlin, Berlin, Germany"
 Becker S.L.," Unit_ de Formation et de Recherche Biosciences, Universit_ F_lix Houphou‘t-Boigny, Abidjan, Cote d'Ivoire"
 Beggs A.H.," Claritas Genomics, Boston, MA, United States"
 Behnam H.," Rajaei Cardiovascular Medical and Research Center, Department of Cardiac Imaging, Tehran, Iran"
 Belac Lovasic I.," National Institute for Cancer Research, Genoa, Italy"
 Belki? K.," Institute for Prevention Research, University of Southern California, School of Medicine, Los Angeles, CA, United States"
 Bell M.," Centre for Medical Psychology and Evidence-based Decision-making (CeMPED), School of Psychology, University of Sydney, Sydney, NSW, Australia"
 Bell S.K.," Department of Medicine, Beth Israel Deaconess Medical Center, Boston, United States"
 Bellali T.," Hellenic Open University, Patras, Greece"
 Bel_m L.J.M.," Brazilian Sign Language (Libras), Rio de Janeiro, Brazil"
 Ben-Ari E.," Kinneret College on the Sea of Galilee, Israel"
 Benichou J.," U. de Stat. M_dicales, H™pital Charles Nicolle, 1, rue de Germont, 76031 Rouen Cedex, France"
 Bentley S.," Emergency Department, Mount Sinai Medical Center, Elmhurst, NY, United States"
 Bentley S.," University of Medicine and Dentistry of New Jersey, Newark, NJ, United States"
 Benton M.J.," Department of Earth Sciences, Royal Holloway, Egham, Surrey, United Kingdom"
 Bereknyei S.," Stanford University School of Medicine, Stanford, CA, United States"
 Bereknyei S.," Department of Family Medicine, Orange, CA 9286, United States"
 Bergel A.," Software Architecture Group, Hasso Planner Institut, University of Potsdam, Germany"
 Berger D.E.," Sch. of Behav. and Org. Sciences, Claremont Graduate University, 123 East Eighth Street, Claremont, CA 91711, United States"
 Berger P.M.," Technology Management Department, California State Polytech. U. Pomona, 1515 Finecroft Drive, Claremont, CA 91711-3218, United States"
 Berger T.," ƒcole de Sant_ Publique, Facult_ de M_decine de Nancy, 9, avenue de la forêt de Haye, VandÏuvre-lès-Nancy Cedex, France"
 Berlin L.," Department of Radiology, Rush North Shore Medical Center, 9600 Gross Point Rd., Skokie, IL 60076, United States"
 Berlioz-Arthaud A.," Institut Pasteur de Nouvelle-Caledonie, Centre de Biologie Medicale, BP 61, 98845 Noumea, Nouvelle-Caledonie"
 Berman P.D., Institute for Interactive Technologies
 Berter_ C.," Division of Nursing Science, Department of Medicine, University Hospital, Link_ping, Sweden"
 Bevilacqua G.," Lessius University College, Belgium"
 Bhore R.," Department of Clinical Sciences, University of Texas, Southwestern Medical Center, Dallas, TX, United States"
 Biggs B.-A.," University of Melbourne, Department of Medicine, Doherty Institute, 792 Elizabeth Street, Melbourne, VIC, Australia"
 Bijlsma E.," 4mb, Center for Mind and Behavior, Roosendaal, Netherlands"
 Bilal S.," Division of Emergency Medicine, Ben Taub General Hospital, Baylor College of Medicine, Houston, TX, United States"
 Birch S.," APT Foundation, United States"
 Birks E.," School of Nursing and Midwifery, University of Sheffield, Northern General Hospital, Herries Road, Sheffield S5 7AU, United Kingdom"
 Biscevic M.," Department of Orthopaedics and Traumatology, Clinical Centre, University of Sarajevo, Sarajevo, Bosnia and Herzegovina"
 Biskup S.," Division of Next Generation Sequencing, Center for Molecular Imaging, The Brown Foundation Institute of Molecular Medicine, UTHealth, Houston, TX, United States"
 Bitner-Glindzicz M.," Clinical and Molecular Genetics, Institute of Child Health, London, United Kingdom"
 Bjelica M.Z.," Faculty of Technical Sciences, Trg Dositeja Obradovi?a 6, Novi Sad, Serbia"
 Black W.D.," Agriculture Western Australia, Narrogin, WA 6312, Australia"
 Blackburn B.G.," Division of General Internal Medicine, Toronto General Hospital, University Health Network, Toronto, ON, Canada"
 Blackmore-Prince C.," Division of Reproductive Health, Natl. Ctr. Chron. Dis. Prev./H., Centers for Dis. Contr./Prevention, 4770 Buford Highway N.E., Atlanta, GA 30341, United States"
 Blumenthal D.M.," Cardiovascular Division, Department of Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA, United States"
 Boers E.," The Utrecht University of Applied Sciences, Netherlands"
 Boggiano V.," Dartmouth College, Hanover, NH, United States"
 Bogoch I.I.," Department of Medicine, University of Toronto, Toronto, ON, Canada"
 Boivin I.," University Paris Descartes & Sorbonne Paris Cit_, France"
 Boivin I.," Family Medicine, St Mary s Hospital, 3830 Lacombe Avenue, Montreal, QC, H3T 1M5, Canada"
 Boivin I.," Universit_ de Sherbrooke, Sherbrooke (Qc), Canada"
 Boker J.," Stanford University School of Medicine, Stanford, CA, United States"
 Boker J.R.," Academic Affairs, Geisinger Health System, Danville, PA, United States"
 Bonsignore F.," Scuola di Specializzazione in Fisica Sanitaria, Universitˆ degli Studi di Milano, Milano, Italy"
 Boonen A.," Erasmus Medical Center, University Medical Center, Rotterdam, Netherlands"
 Booth K.," McLaughlin Centre, The Centre for Applied Genomics, University of Toronto, The Hospital for Sick Children, Toronto, ON, Canada"
 Bordini R.H.," Computer and Information Technology Department, University of Craiova, Romania"
 Borovickova I.," Department of Chemical Pathology, Beaumont Hospital, Dublin 9, Ireland"
 Bosatra A.," Otolaryngology Clinic School of Andiology, University of Trieste, Trieste, Italy"
 Bosch E.," Willie Ross School for the Deaf, Longmeadow, MA, United States"
 Bossler A.," Department of Genetics, Yale University, School of Medicine, New Haven, CT, United States"
 Bouillon M.-C.," AECOM, United States"
 Bourguignon M.H.," Serv. Hosp. Frederic-Joliot, CEA, Orsay, France"
 Bourke M.J.," The University of Sydney, Sydney, Australia"
 Bovier P.A.," Institute of Nursing Science, University of Basel, Bernoullistrasse 28, CH-4056 Basel, Switzerland"
 Bowden V.," Royal Brisbane and Women's Hospital Brisbane, QLD Australia"
 Bowler R.," Faculty of Education and Society, University of Sunderland, United Kingdom"
 Bowley J.," Mental Health NHS Trust, Manchester, United Kingdom"
 Boyd-Graber J.," Computer Science, University of Colorado, United States"
 Boyle D.K.," Dan Boyle and Associates, 4511 Falcon Ridge Court, San Diego, CA 92130, United States"
 Brabyn S.," Mental Health and Addiction Group, Department of Health Sciences, University of York, York, United Kingdom"
 Bradaric-Joncic S.," Odsjek za O_te?enja Sluha, Edukacijsko-Rehabilitacijski Fakultet Sveucili_ta U Zagrebu"
 Braddock III C.H.," National Institutes of Health, Natl. Heart, Blood, and Lung Inst.-supported Natl., Consortium for Multicultural Educ. for Hlth. Professionals, Stanford, CA, United States"
 Bradley E.B.," Department of Medicine, University of Virginia, United States"
 Bradley E.H.," Division of Health Policy and Administration, Yale University School of Public Health, New Haven, CA, United States"
 Brady J.E.," Department of Anaesthesia and Pain Management, Princess Margaret Hospital for Children, Perth, Australia"
 Brakemeier E.-L.," Klinische Psychologie und Psychotherapie, Philipps-Universit_t, Marburg, Germany"
 Braun M.," Stem Cell Biology and Regenerative Medicine, School of Medicine, Stanford University, Palo Alto, CA, United States"
 Braun T.A.," Instituto de Formaci—n e Investigaci—n Marqu_s de Valdecilla (IFIMAV), Santander, Cantabria, Spain"
 Bravo A.," Chemistry Faculty, University of Havana, Havana, Cuba"
 Brayshaw M.," Human Cognition Research Laboratory, Open University, Milton Keynes, United Kingdom"
 Briggs S.," Department of Social Work, Cass School of Education and Communities, University of East London, London, United Kingdom"
 Brinkman J.," Department of Clinical Pharmacology, University Medical Center, Groningen, Netherlands"
 Brody L.C.," CRC Human Cancer Genetics Research Group, University of Cambridge, Cambridge, United Kingdom"
 Brogan D.J.," Department of Epidemiology, Rollins School of Public Health, Emory University, Atlanta, GA, United States"
 Brookes S.T.," Division of Surgery, Head and Neck, University Hospitals Bristol"
 Broom A.," Department of Palliative Care St Vincent's Hospital Brisbane, QLD Australia"
 Brown A.D.," IBM Toronto Software Lab, Canada"
 Brown G.," Family Medicine Centre, 220 Bagot St., Kingston, Ont. K7L 5E9, Canada"
 Brown M.A.," Department of Renal Medicine, St. George Hospital, Kogarah, NSW 2217, Australia"
 Brown P.," University of Medicine and Dentistry, New Jersey School of Public Health, Department of Health Education and Behavioral Sciences, Newark, NJ, United States"
 Brown P.," Baltimore Medical Systems, Inc., United States"
 Brown R.F.," Department of Social and Behavioral Health, School of Medicine, Virginia Commonwealth University, Richmond, VA, United States"
 Browner C.H.," Center for Culture and Health, Department of Psychiatry and Bio-Behavioral Sciences, University of California, Los Angeles, 760 Westwood Plaza, Los Angeles, CA 90024-1759, United States"
 Bshouty Z.," University of Manitoba, Health Sciences Centre, Winnipeg, MB, Canada"
 Buchwald D.," Department of Medicine, University of Washington, Seattle, United States"
 Buchwald D.," Division of General Intenal Medicine, Harborview Medical Center, Box 359780, 325 Ninth Ave., Seattle, WA 98104, United States"
 Bukkapatnam S.T.S.," Department of Industrial Engineering and Management, Oklahoma State University, Stillwater, OK, United States"
 Bumpus N.N.," FHI 360, Durham, NC, United States"
 Bur_’kov‡ V.," Department of Physical Electronics, Faculty of Science, Masaryk University, Kotl‡?sk‡ 2, Brno 611 37, Czech Republic"
 Burk R.D.," Department of Pediatrics, Albert Einstein College of Medicine, 1300 Morris Park Avenue, Bronx, NY 10461, United States"
 Burnham D.," Radboud University Nijmejen Viataal, Institute for the Deaf, Nijmegen, Netherlands"
 Burnham G.," Department of Pharmacy, College of Health Sciences, Makerere University, Kampala, Uganda"
 Burton Bass A.," University of Manitoba, Canada"
 Bus B.A.A.," Parnassia-BAVO Group, Department of Affective Disorders, Medical Chronobiology, PsyQ, The Hague, Netherlands"
 Buyse B.," Department of Industrial Engineering, University of Trento, IRC-PAT FBK, Trento, Italy"
 BŸker F.," Schlumberger PetroTechnical Services, United States"
 C—rdoba P.," IEO - Instituto Espa–ol de Oceanograf’a, Centro Oceanogr‡fico de Santander, Promontorio San Mart’n s/n, Santander, Spain"
 Cabassa L.J.," School of Social Work, University of Southern California, Los Angeles, CA, United States"
 Cain P.," National Cardiovascular Center, Osaka, Japan"
 Calhoun R.," Seattle, WA, United States"
 Callaghan T.F.," Minnesota BCA Forensic Science Laboratory, 1430 Maryland Avenue East, St. Paul, MN 55106, United States"
 Caltagirone C.," Department of Neuroscience, IRCCS Fondazione, Santa Lucia and Tor Vergata University, Roma, Italy"
 Caltagirone C.," Department of Neuroscience, IRCCS Fondazione Santa Lucia and Tor Vergata University, Rome, Italy"
 Camargo Jr. C.A.," Department of Emergency Medicine, Harvard Medical School, Massachusetts General Hospital, 326 Cambridge Street, Boston, MA 02114, United States"
 Camera A.," Via Pordenone, 13, Milan, Italy"
 Campbell C.A.," Department of Molecular Biophysics and Biochemistry, WM Keck Foundation Biotechnology Resource Laboratory, Yale University, New Haven, CT, United States"
 Canal P.," FermiLab, PO Box 500, Batavia, IL, United States"
 Cappelleri J.C.," Biostatistics, Pfizer Inc., New London, CT, United States"
 Cardick L.C.," Heartland Healthy Neighborhood, Topeka, KS, United States"
 Cardona A.," Centro Internacional de M_todos COmputacionales en Ingenier’a, CIMEC-INTEC, Universidad Nacional del Litoral, Conicet Guemes 3450, 3000 Santa Fe, Argentina"
 Cardona-Rodriguez J.," Institute for Psychological Research (IPsi), University of Puerto Rico, Rio Piedras, Puerto Rico"
 Carillio G.," Division of Medical Oncology, San Filippo-Neri Hospital, Via Martinotti, 20, 00135 Rome, Italy"
 Carmichael A.," Community Liaison and Projects Office Deaf Australia, Sydney, NSW, Australia"
 Carnaby S.," Faculty of Medicine, University of Natal, Congella 4013, South Africa"
 Carreno L.M.," Refugee Services Office, AmeriCorps VISTA, Logan, UT, USA"
 Carri— I.," Department of Nuclear Medicine, Hospital Sant Pau, Autonomous University of Barcelona, Barcelona, Spain"
 Carswell K.," Barts and the London School of Medicine and Dentistry, Queen Mary University, London, United Kingdom"
 Carter H.," Georgia Institute of Technology, United States"
 Carty B.," University of Newcastle, United Kingdom"
 Case B.," Cheng Ear Lab, Stanford University, School of Medicine, Stanford, CA, United States"
 Casey K.L.," University of Michigan, United States"
 Cassa C.A.," Department of Prostate Cancer Research, Institute of Pathology, University Hospital of Bonn, Bonn, Germany"
 Castanos J.G.," IBM Research, T.J. Watson Research Center, United States"
 Castanos J.G.," University of Tokyo, Japan"
 Castberg T.," Institute of Marine Research, Department of Coastal Zone, Fl¿devigen Mar. Res. Station, 4817 His, Norway"
 Castillo-Ortiz J.-D.," Unidad de Investigaci—n en Enfermedades Cronico-Degenerativas, Guadalajara, Mexico"
 Castro G.," Universidad Cat—lica de Temuco, Avda. Alemania 0422, 4810296 Temuco, Chile"
 Castro S.," Investigacion del Dept. de Epidemiologia Clinica y Bioestadistica, Pontificia Universidad Javeriana, Bogot‡, Colombia"
 Catalayudb D.P.," Departament de Psicologia Evolutiva Educativa, Social i Metodologia, Universitat Jaume I, Campus de Riu Sec, Castell— de la Plana, Spain"
 Catteau-Jonard S.," Department of Radiology, H™pital Jeanne-de-Flandre, CHRU de Lille, Avenue Eugène-Avin_e, 59037 Lille, France"
 Cavallaro F.," Occupational Medicine Department, Italian National Olympic Committee, Rome, Italy"
 Cavazos-Rehg P.A.," Center for Mental Health Services Research, Washington University in St. Louis, St. Louis, MO, United States"
 Cazuguel G.," Inserm, U650, IFR 148, ScInBioS, Brest F-29200, France"
 Cederborg A.-C.," Department of Social and Developmental Psychology, University of Cambridge, Cambridge, United Kingdom"
 Cederborg A.-C.," Department of Child and Youth Studies, Stockholm University, Sweden"
 Ceuleers E.," Department of Applied Linguistics, University College Ghent, Belgium"
 Ch‡vez C.," California Polytechnic State University, United States"
 Ch‡vez C.," California Polytechnic State University, United States"
 Ch‡vez C.," California Polytechnic State University, United States"
 Cha S.S.," Department of Biomedical Statistics and Informatics, Mayo Clinic, Rochester, MN, United States"
 Chaiyaratana N.," Department of Production Engineering, King Mongkut's Institute of Technology North Bangkok, 1518 Piboolsongkram Road, Bangsue, Bangkok 10800, Thailand"
 Chambers C.T.," Department of Pediatrics, Dalhousie University, Halifax, NS, Canada"
 Chambon P.," INRAP - UMR 7041, Ethnologie pr_historique, MAE, 21, all_e de l'Universit_, F-92023 Nanterre cedex, France"
 Chan E.," NICOS Chinese Health Coalition, San Francisco, CA, United States"
 Chan K.," BC Centre for Excellence in HIV/AIDS, 608-1081 Burrard St., Vancouver, BC V6Z 1Y6, Canada"
 Chan K.S.," Division of Pulmonary and Critical Care Medicine, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, United States"
 Chan M.H.M.," Division of Clinical Biochemistry, Department of Pathology, Queen Mary Hospital, Hong Kong, Hong Kong"
 Chandler N.," Methodist Hospital, Houston, TX, United States"
 Changrani J.," Department of Medicine, University of California, Los Angeles, Los Angeles, CA, United States"
 Chapman M.D.," Department of Neurology, Free University Amsterdam, Amsterdam, Netherlands"
 Charbonneau N.L.," Molecular Medicine Centre, MRC Institute of Genetic and Molecular Medicine, University of Edinburgh, Western General Hospital, Edinburgh, United Kingdom"
 Chari G.," Department of Biomedical Engineering, University of Houston, Houston, TX, United States"
 Charles J.," School of Computing, University of Leeds, Leeds, United Kingdom"
 Charman D.J.," Department of Geography, College of Life and Environmental Sciences, University of Exeter, Exeter, United Kingdom"
 Chau R.," Department of Sociological Studies, University of Sheffield, Sheffield, United Kingdom"
 Chen A.H.," San Francisco General Hospital, Department of Medicine, University of California, San Francisco, CA, United States"
 Chen H.-C.," National Chung Cheng University, Taiwan"
 Chen X.," Department of Linguistics, Gallaudet University, 800 Florida Ave NE, Washington, DC, United States"
 Chersi F.," University College London, Institute of Cognitive Neuroscience, 17 Queen Square, London, United Kingdom"
 Chewning B.," School of Pharmacy, University of Wisconsin-Madison, Madison, WI, United States"
 Chiapello E.," Groupe HEC, 78350 Jouy-en-Josas, France"
 Chirstoffels I.K.," Maastricht University, Maastricht, Netherlands"
 Chitnarong K.," Fred Hutchinson Cancer Research Center, Seattle, WA, United States"
 Chiu A.," Fu Jen Catholic University, Taiwan"
 Chiu Y.-H.," 1005 Wren Way, San Marcos, CA 92078, United States"
 Chmiel A.," Department of Translation Studies, Adam Mickiewicz University, Poznan, Poland"
 Cho S.," Division of Biomedical Informatics, National Institute of Health, Korea Center for Disease Control, Cheongwon 363-951, South Korea"
 Chopra P.," St VincentÕs Hospital, Melbourne, VIC, Australia"
 Christen T.," Department of Electrical Engineering, Stanford University, Stanford, CA, United States"
 Christoffels I.," University of Applied Sciences, Utrecht, Netherlands"
 Christoffels I.," Leiden University, Netherlands"
 Chun K.M.," Department of Psychology, University of San Francisco, San Francisco, CA, United States"
 Chung T.J.," Global Medical Affairs, Cubist Pharmaceuticals, Lexington, Massachusetts Department of Pharmacy Practice, College of Pharmacy, University of Nebraska Medical Center, Omaha"
 Church J.A.," Department of Radiology, WUSM, St. Louis, MO 63110, United States"
