Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations 1,geo_latitude,geo_longitude,geo_accuracy,Affiliations 2,Coordinates 2,Affiliations 3,Coordinates 3,Affiliations 4,Coordinates 4,Affiliations 5,Coordinates 5,Affiliation 6,Coordinates 6,Affiliation 7,Coordinates 7,Affiliation 8,Coordinates 8,Affiliation 9,Coordinates 9,Affiliation 10,Coordinates 10,Affiliation 11,Coordinates 11,Affiliation 12,Coordinates 12,Affiliation 13,Coordinates 13,Affiliation 14,Coordinates 14,Affiliation 15,Coordinates 15,Affiliation 16,Coordinates 16,Affiliation 17,Coordinates 17,Lat,Lng
Gallai F.,Point of view in free indirect thought and in community interpreting,2016,Lingua,175-176,,,97,121,,,10.1016/j.lingua.2015.08.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963700615&doi=10.1016%2fj.lingua.2015.08.012&partnerID=40&md5=765622a7c72a9ac33c5ec6a6f4e5d168,"University of Bologna, Dipartimento di Lingue, Letterature e Culture Moderne, LILEC, Via Cartoleria 5, Bologna, Italy",44.4897188,11.3490553,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noegel S.,Dreams and dream interpreters in mesopotamia and in the Hebrew Bible [old testament],2016,"Dreams: A Reader on Religious, Cultural and Psychological Dimensions of Dreaming",,,,45,71,,,10.1007/978-1-137-08545-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014295099&doi=10.1007%2f978-1-137-08545-0&partnerID=40&md5=a6af6640e7c3d457040d789433929738,"University of Washington-Seattle, United States",47.6553351,-122.3035199,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homer S.,Jacques Lacan: Freud's French interpreter,2016,The Routledge Handbook of Psychoanalysis in the Social Sciences and Humanities,,,,97,114,,,10.4324/9781315650821,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978264620&doi=10.4324%2f9781315650821&partnerID=40&md5=1e1ce2df567bf02039cf9207edc6f2ce,"American University, Bulgaria",42.0130463,23.0953877,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0130463,23.0953877
"Lee J., Choi M., Huh J., Chang A.",Community interpreting services by marriage migrants for marriage migrants in South Korea,2016,Perspectives: Studies in Translatology,24,2,,179,200,,,10.1080/0907676X.2015.1052524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963542325&doi=10.1080%2f0907676X.2015.1052524&partnerID=40&md5=3a129435adb828c7539cbb304d2b1432,"Graduate School of Translation and Interpretation, Ewha Womans University, Seoul, South Korea",37.5618577,126.9468294,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tang F., Li D.",Explicitation patterns in English-Chinese consecutive interpreting: Differences between professional and trainee interpreters,2016,Perspectives: Studies in Translatology,24,2,,235,255,,,10.1080/0907676X.2015.1040033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941357737&doi=10.1080%2f0907676X.2015.1040033&partnerID=40&md5=e711dc7defb3c3b8b71302459fcf9e66,"School of Interpreting and Translation Studies, Guangdong University of Foreign Studies, Guangzhou, China",23.2002509,113.2898677,APPROXIMATE,"Department of Chinese and Bilingual Studies, The Hong Kong Polytechnic UniversityKowloon, Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yuniza M.E., Triatmodjo M., Evania R.",Gas governance in Indonesia,2016,Journal of World Energy Law and Business,9,2,jww004,124,134,,,10.1093/jwelb/jww004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988862006&doi=10.1093%2fjwelb%2fjww004&partnerID=40&md5=f6c9d3042f042ee46098777a6b708446,"Faculty of Law, Universitas Gadjah Mada, Indonesia",-7.770083,110.381018,APPROXIMATE,"Centre of Energy Studies, Universitas Gadjah Mada, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marschark M., Sarchet T., Trani A.",Effects of hearing status and sign language use on working memory,2016,Journal of Deaf Studies and Deaf Education,21,2,,148,155,,2,10.1093/deafed/env070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963724514&doi=10.1093%2fdeafed%2fenv070&partnerID=40&md5=5cd8bbdb3513a3adc21f8953d191df0b,"National Technical Institute, Deaf-Rochester Institute of Technology, United States",43.0871444,-77.668335,APPROXIMATE,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berge S.S., Thomassen G.",Visual access in interpreter-mediated learning situations for deaf and hard-of-hearing high school students where an artifact is in use,2016,Journal of Deaf Studies and Deaf Education,21,2,env072,187,199,,,10.1093/deafed/env057,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963756336&doi=10.1093%2fdeafed%2fenv057&partnerID=40&md5=b8d40f289a28b3e8532e15a20a854b20,Norwegian University of Science and Technology (NTNU),63.419499,10.402077,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacKenzie C.A.,"Filtered meaning: appreciating linguistic skill, social position and subjectivity of interpreters in cross-language research",2016,Qualitative Research,16,2,,167,182,,1,10.1177/1468794115569564,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960963007&doi=10.1177%2f1468794115569564&partnerID=40&md5=e297e65e07b08f42d40b9a2fece46f42,"McGill University, Canada",45.5047847,-73.5771511,APPROXIMATE,"University of Vermont, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson J.,The signed language interpreter's role in team meeting discourse,2016,Sociolinguistic Research: Application and Impact,,,,111,131,,,10.4324/9781315671765,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979556379&doi=10.4324%2f9781315671765&partnerID=40&md5=82c4eea42fb66189dd09060b27ca0b35,"Nottinghamshire Deaf Society, United Kingdom",52.962758,-1.1630854,APPROXIMATE,"Heriot-Watt University, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakane I.,Language rights in Japanese criminal courts: Bridging the gap between legal professionals and language professionals,2016,Ways of Knowing about Human Rights in Asia,,,,10,26,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978698394&partnerID=40&md5=5007bbeca9d11f7147af5d6511d6b9ef,"Asia Institute, University of Melbourne, Australia",-37.7989329,144.9639453,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liddell K., Waibel M.",Fair and Equitable Treatment and Judicial Patent Decisions,2016,Journal of International Economic Law,19,1,,145,174,,,10.1093/jiel/jgw012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966861820&doi=10.1093%2fjiel%2fjgw012&partnerID=40&md5=f9f02a4274fe6b62681bbc29cf2f4183,"University of Cambridge, United Kingdom",52.2042666,0.1149085,APPROXIMATE,"Centre for Law, Medicine and Life Sciences, United Kingdom",,"Centre for Intellectual Property and Information Law, United Kingdom",,"Lauterpacht Centre for International Law, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipton R.,"Perceptions of the 'Occupational Other': Interpreters, Social Workers and Intercultures",2016,British Journal of Social Work,46,2,,463,479,,,10.1093/bjsw/bcu136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974696095&doi=10.1093%2fbjsw%2fbcu136&partnerID=40&md5=948d68d33fe3c8072b4d104854b03b46,"School of Arts, Languages and Cultures, University of Manchester, Manchester, United Kingdom",53.4668498,-2.2338837,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuhová P.S.,"Loneliness of the characters of translators and interpreters in works of the authors with migration experience on the example of Olga Grjasnowas Literary debut All Russians love Birch Trees [Einsamkeit bei Dolmetscherlnnen/Übersetzerlnnen. Figuren bei Autorlnnen mit Migrationserfahrung am Beispiel des Romans Der Russe ist einer, der Birken liebt von Olga Grjasnowa]",2016,Lili - Zeitschrift fur Literaturwissenschaft und Linguistik,46,1,,37,53,,,10.1007/s41244-016-0008-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977083888&doi=10.1007%2fs41244-016-0008-4&partnerID=40&md5=ff60e488fd9171704b4b51b731a47652,"Katholische Universität, Rui_omberok, Slovakia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick D.J.,Instrument Reporting Practices in Second Language Research,2016,TESOL Quarterly,50,1,,132,153,,,10.1002/tesq.217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000788626&doi=10.1002%2ftesq.217&partnerID=40&md5=c1d6538a2bf9d237435f4b766666973d,"Northern Arizona University, Flagstaff, AZ, United States",35.1830854,-111.6549649,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilsson A.-L.,Embodying metaphors: Signed language interpreters at work,2016,Cognitive Linguistics,27,1,,35,65,,1,10.1515/cog-2015-0029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958164641&doi=10.1515%2fcog-2015-0029&partnerID=40&md5=5b844406f1663d96f8cc3de95f395df9,"Norwegian University of Science and Technology, NTNU, Sør-Trøndelag University College, Trondheim, Norway",63.4288793,10.3904237,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller B.L., Agnich L.E.",Unpaid debt to society: exploring how ex-felons view restrictions on voting rights after the completion of their sentence,2016,"Contemporary Justice Review: Issues in Criminal, Social, and Restorative Justice",19,1,,69,85,,,10.1080/10282580.2015.1101685,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958744999&doi=10.1080%2f10282580.2015.1101685&partnerID=40&md5=dbed2e9f0d25476925a6a361ac175bf6,"Department of Criminal Justice and Criminology, Georgia Southern University, Statesboro, GA, United States",32.424479,-81.7806673,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weinstein S.,Values Education Through Aggadic Stories: The Didactic Rewriter as Interpreter,2016,Journal of Jewish Education,82,1,,54,80,,,10.1080/15244113.2016.1136990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961243928&doi=10.1080%2f15244113.2016.1136990&partnerID=40&md5=41deaf651fb1fb37bba55ecb8ca33752,"Efrata Teachers College, Jerusalem, Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taibi M.,Curriculum innovation in the arab world: Community interpreting and translation as an example,2016,New Insights into Arabic Translation and Interpreting,,,,22,46,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978198590&partnerID=40&md5=fae7d62a77e8ae098951875e68627cd1,"Western Sydney University, Australia",-33.8675149,151.2097472,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"He H., Boyd-Graber J., Daumé H., III",Interpretese vs. translationese: The uniqueness of human strategies in simultaneous interpretation,2016,"2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, NAACL HLT 2016 - Proceedings of the Conference",,,,971,976,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994106391&partnerID=40&md5=e3be3d26775a81ba9fc2091d5c0d6a44,"Computer Science, University of Maryland, United States",38.9908416,-76.9363082,APPROXIMATE,"Computer Science, University of Colorado, United States",,"Computer Science and UMIACS, University of Maryland, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
