Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations 1,geo_latitude,geo_longitude,geo_accuracy,Affiliations 2,Coordinates 2,Affiliations 3,Coordinates 3,Affiliations 4,Coordinates 4,Affiliations 5,Coordinates 5,Affiliation 6,Coordinates 6,Affiliation 7,Coordinates 7,Affiliation 8,Coordinates 8,Affiliation 9,Coordinates 9,Affiliation 10,Coordinates 10,Affiliation 11,Coordinates 11,Affiliation 12,Coordinates 12,Affiliation 13,Coordinates 13,Affiliation 14,Coordinates 14,Affiliation 15,Coordinates 15,Affiliation 16,Coordinates 16,Affiliation 17,Coordinates 17,Lat,Lng
"Yuniza M.E., Triatmodjo M., Evania R.",Gas governance in Indonesia,2016,Journal of World Energy Law and Business,9,2,jww004,124,134,,,10.1093/jwelb/jww004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988862006&doi=10.1093%2fjwelb%2fjww004&partnerID=40&md5=f6c9d3042f042ee46098777a6b708446,"Faculty of Law, Universitas Gadjah Mada, Indonesia",-7.770083,110.381018,APPROXIMATE,"Centre of Energy Studies, Universitas Gadjah Mada, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marschark M., Sarchet T., Trani A.",Effects of hearing status and sign language use on working memory,2016,Journal of Deaf Studies and Deaf Education,21,2,,148,155,,2,10.1093/deafed/env070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963724514&doi=10.1093%2fdeafed%2fenv070&partnerID=40&md5=5cd8bbdb3513a3adc21f8953d191df0b,"National Technical Institute, Deaf-Rochester Institute of Technology, United States",43.0871444,-77.668335,APPROXIMATE,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berge S.S., Thomassen G.",Visual access in interpreter-mediated learning situations for deaf and hard-of-hearing high school students where an artifact is in use,2016,Journal of Deaf Studies and Deaf Education,21,2,env072,187,199,,,10.1093/deafed/env057,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963756336&doi=10.1093%2fdeafed%2fenv057&partnerID=40&md5=b8d40f289a28b3e8532e15a20a854b20,Norwegian University of Science and Technology (NTNU),63.419499,10.402077,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacKenzie C.A.,"Filtered meaning: appreciating linguistic skill, social position and subjectivity of interpreters in cross-language research",2016,Qualitative Research,16,2,,167,182,,1,10.1177/1468794115569564,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960963007&doi=10.1177%2f1468794115569564&partnerID=40&md5=e297e65e07b08f42d40b9a2fece46f42,"McGill University, Canada",45.5047847,-73.5771511,APPROXIMATE,"University of Vermont, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson J.,The signed language interpreter's role in team meeting discourse,2016,Sociolinguistic Research: Application and Impact,,,,111,131,,,10.4324/9781315671765,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979556379&doi=10.4324%2f9781315671765&partnerID=40&md5=82c4eea42fb66189dd09060b27ca0b35,"Nottinghamshire Deaf Society, United Kingdom",52.962758,-1.1630854,APPROXIMATE,"Heriot-Watt University, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakane I.,Language rights in Japanese criminal courts: Bridging the gap between legal professionals and language professionals,2016,Ways of Knowing about Human Rights in Asia,,,,10,26,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978698394&partnerID=40&md5=5007bbeca9d11f7147af5d6511d6b9ef,"Asia Institute, University of Melbourne, Australia",-37.7989329,144.9639453,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liddell K., Waibel M.",Fair and Equitable Treatment and Judicial Patent Decisions,2016,Journal of International Economic Law,19,1,,145,174,,,10.1093/jiel/jgw012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966861820&doi=10.1093%2fjiel%2fjgw012&partnerID=40&md5=f9f02a4274fe6b62681bbc29cf2f4183,"University of Cambridge, United Kingdom",52.2042666,0.1149085,APPROXIMATE,"Centre for Law, Medicine and Life Sciences, United Kingdom",,"Centre for Intellectual Property and Information Law, United Kingdom",,"Lauterpacht Centre for International Law, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipton R.,"Perceptions of the 'Occupational Other': Interpreters, Social Workers and Intercultures",2016,British Journal of Social Work,46,2,,463,479,,,10.1093/bjsw/bcu136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974696095&doi=10.1093%2fbjsw%2fbcu136&partnerID=40&md5=948d68d33fe3c8072b4d104854b03b46,"School of Arts, Languages and Cultures, University of Manchester, Manchester, United Kingdom",53.4668498,-2.2338837,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick D.J.,Instrument Reporting Practices in Second Language Research,2016,TESOL Quarterly,50,1,,132,153,,,10.1002/tesq.217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000788626&doi=10.1002%2ftesq.217&partnerID=40&md5=c1d6538a2bf9d237435f4b766666973d,"Northern Arizona University, Flagstaff, AZ, United States",35.1830854,-111.6549649,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilsson A.-L.,Embodying metaphors: Signed language interpreters at work,2016,Cognitive Linguistics,27,1,,35,65,,1,10.1515/cog-2015-0029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958164641&doi=10.1515%2fcog-2015-0029&partnerID=40&md5=5b844406f1663d96f8cc3de95f395df9,"Norwegian University of Science and Technology, NTNU, S¿r-Tr¿ndelag University College, Trondheim, Norway",63.4288793,10.3904237,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller B.L., Agnich L.E.",Unpaid debt to society: exploring how ex-felons view restrictions on voting rights after the completion of their sentence,2016,"Contemporary Justice Review: Issues in Criminal, Social, and Restorative Justice",19,1,,69,85,,,10.1080/10282580.2015.1101685,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958744999&doi=10.1080%2f10282580.2015.1101685&partnerID=40&md5=dbed2e9f0d25476925a6a361ac175bf6,"Department of Criminal Justice and Criminology, Georgia Southern University, Statesboro, GA, United States",32.424479,-81.7806673,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taibi M.,Curriculum innovation in the arab world: Community interpreting and translation as an example,2016,New Insights into Arabic Translation and Interpreting,,,,22,46,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978198590&partnerID=40&md5=fae7d62a77e8ae098951875e68627cd1,"Western Sydney University, Australia",-33.8675149,151.2097472,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"He H., Boyd-Graber J., DaumŽ H., III",Interpretese vs. translationese: The uniqueness of human strategies in simultaneous interpretation,2016,"2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, NAACL HLT 2016 - Proceedings of the Conference",,,,971,976,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994106391&partnerID=40&md5=e3be3d26775a81ba9fc2091d5c0d6a44,"Computer Science, University of Maryland, United States",38.9908416,-76.9363082,APPROXIMATE,"Computer Science, University of Colorado, United States",,"Computer Science and UMIACS, University of Maryland, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakhmawati S.S.,The role of moving images in the conference interpreting classroom,2016,Indonesian Journal of Applied Linguistics,5,2,,262,271,,,10.17509/ijal.v5i2.1350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962157724&doi=10.17509%2fijal.v5i2.1350&partnerID=40&md5=cbb0c430b0729fb42dd3a0d614539d3e,"Universitas Pendidikan Indonesia, Indonesia",-6.861294,107.5929502,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hale S.B., Napier J.","""We're just kind of there"" Working conditions and perceptions of appreciation and status in court interpreting",2016,Target,28,3,,351,371,,,10.1075/target.28.3.01hal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988693966&doi=10.1075%2ftarget.28.3.01hal&partnerID=40&md5=005692a0a7d94094e0194bc5891c18df,"School of Languages and Linguistics, University of New South Wales, Sydney, NSW, Australia",-33.917347,151.2312675,APPROXIMATE,"School of Management and Languages, Department of Languages and Inter Studies, Heriot-Watt University, Edinburgh, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marszalenko J.E.,"Conduits, communication facilitators, and referees: Revisiting the role of the court interpreter in the Japanese context",2016,SKASE Journal of Translation and Interpretation,10,2,,29,43,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997693804&partnerID=40&md5=b4d859c890f814f00b6964d0d8e660b6,"Nagoya University of Foreign Studies, Japan",35.1586428,137.0421818,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambos K.,The German Rwabukombe case: The federal court's interpretation of co-perpetration and the genocidal intent to destroy,2016,Journal of International Criminal Justice,14,5,,1221,1234,,,10.1093/jicj/mqw056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014733717&doi=10.1093%2fjicj%2fmqw056&partnerID=40&md5=8d20eacd2bb7e7db6ad0c6a834c2a2a7,"Georg-August UniversitŠt Gšttingen, Germany",51.5408116,9.9374004,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan J.,Linking classroom exercises to real-life practice: A case of situated simultaneous interpreting learning,2016,Interpreter and Translator Trainer,10,1,,107,132,,,10.1080/1750399X.2016.1154346,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975231594&doi=10.1080%2f1750399X.2016.1154346&partnerID=40&md5=25f3e47a52a3ad4287f875e684365cc1,"Department of English Language and Literature, Hong Kong Baptist University, Hong Kong, Hong Kong",22.3380838,114.1818597,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaczmarek ?.,Towards a broader approach to the community interpreter's role: On correspondence between role perceptions and interactional goals,2016,Interpreting,18,1,,57,88,,,10.1075/intp.18.1.03kac,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969749514&doi=10.1075%2fintp.18.1.03kac&partnerID=40&md5=de64aacf1b98b5b7fae198113bec27e5,"Faculty of Social Sciences and Humanities, 09 Tower Building, London Metropolitan University, 166-220 Holloway Road, London, United Kingdom",51.5521369,-0.1108369,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang J.,The relationship between working memory capacity and simultaneous interpreting performance: A mixed methods study on professional Auslan/English interpreters,2016,Interpreting,18,1,,1,33,,,10.1075/intp.18.1.01wan,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969895345&doi=10.1075%2fintp.18.1.01wan&partnerID=40&md5=5548e777bdd42fb6385115ec01e0e50e,"School of Languages and Cultures, University of QueenslandQLD, Australia",-27.4954306,153.0120301,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
